#: table_doi: 10.17182/hepdata.159952.v1/t13
#: name: Figure 9
#: description: Centrality dependence of $N_{\rm part}\Delta\gamma^{112}$ (red squares) and $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ (blue circles) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. For comparison, $N_{\rm part}\Delta H^{112}(\kappa_{\rm{bg}}=2.5)$ is also shown with gray band denotes the statistic uncertainties. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ over the 20\%--50\% centrality region. 
#: data_file: Figure9.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
7.5,5.0,10.0,-0.00396,0.01027,-0.01027,0.00374,-0.00374,8e-05,-8e-05
2.5,0.0,5.0,0.01004,0.02776,-0.02776,0.03184,-0.03184,6e-05,-6e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.007,0.013,-0.013,0.003,-0.003,0.003,-0.003
65.0,60.0,70.0,0.0114,0.0055,-0.0055,0.0012,-0.0012,0.0031,-0.0031
55.0,50.0,60.0,0.0018,0.0029,-0.0029,0.0003,-0.0003,0.0004,-0.0004
45.0,40.0,50.0,0.00638,0.00188,-0.00188,0.00016,-0.00016,0.00087,-0.00087
35.0,30.0,40.0,0.0039,0.0014,-0.0014,0.0003,-0.0003,0.0004,-0.0004
25.0,20.0,30.0,7.3e-05,0.001398,-0.001398,0.000189,-0.000189,5e-06,-5e-06
15.0,10.0,20.0,-0.00113,0.00183,-0.00183,0.00037,-0.00037,4e-05,-4e-05
7.5,5.0,10.0,0.00151,0.00533,-0.00533,0.00073,-0.00073,3e-05,-3e-05
2.5,0.0,5.0,0.01371,0.01638,-0.01638,0.0086,-0.0086,8e-05,-8e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0049,0.003,-0.003,0.0023,-0.0023,0.0018,-0.0018
65.0,60.0,70.0,0.0138,0.0017,-0.0017,0.0015,-0.0015,0.0038,-0.0038
55.0,50.0,60.0,0.019,0.0012,-0.0012,0.0008,-0.0008,0.0038,-0.0038
45.0,40.0,50.0,0.0206,0.001,-0.001,0.0004,-0.0004,0.0028,-0.0028
35.0,30.0,40.0,0.0217,0.001,-0.001,0.0005,-0.0005,0.0021,-0.0021
25.0,20.0,30.0,0.0189,0.001,-0.001,0.0008,-0.0008,0.0012,-0.0012
15.0,10.0,20.0,0.0133,0.0015,-0.0015,0.0019,-0.0019,0.0005,-0.0005
7.5,5.0,10.0,0.0106,0.0039,-0.0039,0.0027,-0.0027,0.0002,-0.0002
2.5,0.0,5.0,0.001671,0.009855,-0.009855,0.004646,-0.004646,1e-05,-1e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0022,0.0062,-0.0062,0.0034,-0.0034,0.0008,-0.0008
65.0,60.0,70.0,0.0033,0.0031,-0.0031,0.002,-0.002,0.0009,-0.0009
55.0,50.0,60.0,0.0021,0.0021,-0.0021,0.0006,-0.0006,0.0004,-0.0004
45.0,40.0,50.0,0.00105,0.00178,-0.00178,0.00027,-0.00027,0.00014,-0.00014
35.0,30.0,40.0,-0.00035,0.00174,-0.00174,0.00032,-0.00032,3e-05,-3e-05
25.0,20.0,30.0,-0.00208,0.00198,-0.00198,0.00127,-0.00127,0.00013,-0.00013
15.0,10.0,20.0,0.00162,0.00277,-0.00277,0.00027,-0.00027,6e-05,-6e-05
7.5,5.0,10.0,0.00244,0.00705,-0.00705,0.00965,-0.00965,5e-05,-5e-05
2.5,0.0,5.0,-0.02191,0.01648,-0.01648,0.01526,-0.01526,0.00013,-0.00013

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0025,0.0028,-0.0028,0.0022,-0.0022,0.0009,-0.0009
65.0,60.0,70.0,0.006,0.0016,-0.0016,0.0013,-0.0013,0.0016,-0.0016
55.0,50.0,60.0,0.0048,0.0011,-0.0011,0.0007,-0.0007,0.001,-0.001
45.0,40.0,50.0,0.0017,0.0009,-0.0009,0.00011,-0.00011,0.00023,-0.00023
35.0,30.0,40.0,0.00071,0.00085,-0.00085,0.00012,-0.00012,7e-05,-7e-05
25.0,20.0,30.0,-0.00033,0.00094,-0.00094,0.00064,-0.00064,2e-05,-2e-05
15.0,10.0,20.0,-0.00105,0.00134,-0.00134,0.00176,-0.00176,4e-05,-4e-05
7.5,5.0,10.0,0.000362,0.003668,-0.003668,0.00287,-0.00287,7e-06,-7e-06
2.5,0.0,5.0,-0.00421,0.00951,-0.00951,0.00506,-0.00506,2e-05,-2e-05

