#: table_doi: 10.17182/hepdata.159952.v1/t13
#: name: Figure 9
#: description: Centrality dependence of $N_{\rm part}\Delta\gamma^{112}$ (red squares) and $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ (blue circles) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. For comparison, $N_{\rm part}\Delta H^{112}(\kappa_{\rm{bg}}=2.5)$ is also shown with gray band denotes the statistic uncertainties. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{112}_{\rm ESS}$ over the 20\%--50\% centrality region. 
#: data_file: Figure9.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
25.0,20.0,30.0,-0.000299,0.003189,-0.003189,0.001262,-0.001262,1.9e-05,-1.9e-05
15.0,10.0,20.0,-0.00414,0.00425,-0.00425,0.00167,-0.00167,0.00016,-0.00016
7.5,5.0,10.0,-0.0222,0.0114,-0.0114,0.0025,-0.0025,0.0005,-0.0005
2.5,0.0,5.0,.,0,0,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,9.2
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.019,0.012,-0.012,0.008,-0.008,0.007,-0.007
65.0,60.0,70.0,0.0118,0.0052,-0.0052,0.0011,-0.0011,0.0032,-0.0032
55.0,50.0,60.0,0.00426,0.00282,-0.00282,0.00011,-0.00011,0.00085,-0.00085
45.0,40.0,50.0,0.0034,0.0019,-0.0019,0.0005,-0.0005,0.0005,-0.0005
35.0,30.0,40.0,0.00153,0.00163,-0.00163,0.00067,-0.00067,0.00015,-0.00015
25.0,20.0,30.0,-0.00186,0.00164,-0.00164,5e-05,-5e-05,0.00012,-0.00012
15.0,10.0,20.0,-0.0071,0.0022,-0.0022,0.0006,-0.0006,0.0003,-0.0003
7.5,5.0,10.0,-0.0115,0.0062,-0.0062,0,0,0.0002,-0.0002
2.5,0.0,5.0,.,0,0,0,0,0,0

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.01,0.009,-0.009,0.004,-0.004,0.004,-0.004
65.0,60.0,70.0,0.015,0.0039,-0.0039,0.0009,-0.0009,0.0041,-0.0041
55.0,50.0,60.0,0.0209,0.0024,-0.0024,0.0006,-0.0006,0.0041,-0.0041
45.0,40.0,50.0,0.0288,0.0016,-0.0016,0.002,-0.002,0.0039,-0.0039
35.0,30.0,40.0,0.0289,0.0014,-0.0014,0.0002,-0.0002,0.0028,-0.0028
25.0,20.0,30.0,0.0255,0.0014,-0.0014,0.0008,-0.0008,0.0016,-0.0016
15.0,10.0,20.0,0.0202,0.0019,-0.0019,0.0005,-0.0005,0.0008,-0.0008
7.5,5.0,10.0,0.0164,0.0053,-0.0053,0,0,0.0003,-0.0003
2.5,0.0,5.0,-0.001252,0.016629,-0.016629,0.007159,-0.007159,7e-06,-7e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0017,0.0176,-0.0176,0.0049,-0.0049,0.0006,-0.0006
65.0,60.0,70.0,0.0044,0.0075,-0.0075,0.0123,-0.0123,0.0012,-0.0012
55.0,50.0,60.0,0.0055,0.0042,-0.0042,0.0007,-0.0007,0.0011,-0.0011
45.0,40.0,50.0,0.0109,0.0028,-0.0028,0.0022,-0.0022,0.0015,-0.0015
35.0,30.0,40.0,0.0044,0.0024,-0.0024,0.0004,-0.0004,0.0004,-0.0004
25.0,20.0,30.0,-2.61e-05,0.0025025,-0.0025025,0.0018787,-0.0018787,1.6e-06,-1.6e-06
15.0,10.0,20.0,-0.00282,0.00339,-0.00339,0.0009,-0.0009,0.00011,-0.00011
7.5,5.0,10.0,0.00487,0.00932,-0.00932,0.00388,-0.00388,0.0001,-0.0001
2.5,0.0,5.0,-0.00432,0.02846,-0.02846,0.0098,-0.0098,3e-05,-3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,11.5
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.01,0.009,-0.009,0.003,-0.003,0.004,-0.004
65.0,60.0,70.0,0.0092,0.0036,-0.0036,0.0012,-0.0012,0.0025,-0.0025
55.0,50.0,60.0,0.008,0.0022,-0.0022,0.0006,-0.0006,0.0016,-0.0016
45.0,40.0,50.0,0.0081,0.0015,-0.0015,0.0017,-0.0017,0.0011,-0.0011
35.0,30.0,40.0,0.0031,0.0013,-0.0013,0.0005,-0.0005,0.0003,-0.0003
25.0,20.0,30.0,-0.00196,0.00128,-0.00128,0.00047,-0.00047,0.00012,-0.00012
15.0,10.0,20.0,-0.00435,0.00176,-0.00176,0.00044,-0.00044,0.00016,-0.00016
7.5,5.0,10.0,-0.00236,0.00499,-0.00499,0.00029,-0.00029,5e-05,-5e-05
2.5,0.0,5.0,-0.01255,0.01607,-0.01607,0.00667,-0.00667,7e-05,-7e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.005,0.007,-0.007,0.005,-0.005,0.002,-0.002
65.0,60.0,70.0,0.013,0.004,-0.004,0.005,-0.005,0.004,-0.004
55.0,50.0,60.0,0.0179,0.0022,-0.0022,0.0017,-0.0017,0.0036,-0.0036
45.0,40.0,50.0,0.0244,0.0015,-0.0015,0.0011,-0.0011,0.0033,-0.0033
35.0,30.0,40.0,0.0289,0.0013,-0.0013,0.0009,-0.0009,0.0028,-0.0028
25.0,20.0,30.0,0.0281,0.0013,-0.0013,0.0012,-0.0012,0.0017,-0.0017
15.0,10.0,20.0,0.0212,0.0018,-0.0018,0.0013,-0.0013,0.0008,-0.0008
7.5,5.0,10.0,0.0127,0.005,-0.005,0.0007,-0.0007,0.0003,-0.0003
2.5,0.0,5.0,-0.00513,0.01626,-0.01626,0.00234,-0.00234,3e-05,-3e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.026,0.016,-0.016,0.009,-0.009,0.009,-0.009
65.0,60.0,70.0,-5.4e-05,0.006674,-0.006674,0.005062,-0.005062,1.5e-05,-1.5e-05
55.0,50.0,60.0,0.00074,0.00378,-0.00378,0.00065,-0.00065,0.00015,-0.00015
45.0,40.0,50.0,0.0047,0.0026,-0.0026,0.0014,-0.0014,0.0006,-0.0006
35.0,30.0,40.0,0.0051,0.0023,-0.0023,0.0008,-0.0008,0.0005,-0.0005
25.0,20.0,30.0,0.0033,0.0023,-0.0023,0.0005,-0.0005,0.0002,-0.0002
15.0,10.0,20.0,0.0025,0.00323,-0.00323,0.00067,-0.00067,9e-05,-9e-05
7.5,5.0,10.0,-0.001,0.00895,-0.00895,0.00203,-0.00203,2e-05,-2e-05
2.5,0.0,5.0,0.01827,0.02768,-0.02768,0.01223,-0.01223,0.00011,-0.00011

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0051,0.0069,-0.0069,0.0046,-0.0046,0.0019,-0.0019
65.0,60.0,70.0,0.007,0.003,-0.003,0.005,-0.005,0.002,-0.002
55.0,50.0,60.0,0.0057,0.002,-0.002,0.0016,-0.0016,0.0011,-0.0011
45.0,40.0,50.0,0.0055,0.0014,-0.0014,0.0007,-0.0007,0.0008,-0.0008
35.0,30.0,40.0,0.0046,0.0012,-0.0012,0.001,-0.001,0.0005,-0.0005
25.0,20.0,30.0,0.00217,0.00118,-0.00118,0.00107,-0.00107,0.00013,-0.00013
15.0,10.0,20.0,-0.00161,0.00165,-0.00165,0.00114,-0.00114,6e-05,-6e-05
7.5,5.0,10.0,-0.00447,0.00471,-0.00471,0.00087,-0.00087,9e-05,-9e-05
2.5,0.0,5.0,-0.01586,0.01568,-0.01568,0.00174,-0.00174,9e-05,-9e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0026,0.0111,-0.0111,0.0015,-0.0015,0.001,-0.001
65.0,60.0,70.0,0.0102,0.0053,-0.0053,0.0009,-0.0009,0.0028,-0.0028
55.0,50.0,60.0,0.022,0.003,-0.003,0.003,-0.003,0.004,-0.004
45.0,40.0,50.0,0.0245,0.0021,-0.0021,0.0006,-0.0006,0.0034,-0.0034
35.0,30.0,40.0,0.0282,0.0017,-0.0017,0.0007,-0.0007,0.0028,-0.0028
25.0,20.0,30.0,0.0282,0.0017,-0.0017,0.0007,-0.0007,0.0018,-0.0018
15.0,10.0,20.0,0.0238,0.0022,-0.0022,0.0007,-0.0007,0.0009,-0.0009
7.5,5.0,10.0,0.0125,0.0059,-0.0059,0.0043,-0.0043,0.0003,-0.0003
2.5,0.0,5.0,0.00988,0.01856,-0.01856,0.00807,-0.00807,6e-05,-6e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{112}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.022,0.025,-0.025,0.016,-0.016,0.008,-0.008
65.0,60.0,70.0,0.008,0.01,-0.01,0.01,-0.01,0.002,-0.002
55.0,50.0,60.0,0.0039,0.0051,-0.0051,0.0013,-0.0013,0.0008,-0.0008
45.0,40.0,50.0,-0.00045,0.0036,-0.0036,0.00065,-0.00065,6e-05,-6e-05
35.0,30.0,40.0,0.00521,0.00302,-0.00302,0.00013,-0.00013,0.00051,-0.00051
25.0,20.0,30.0,0.00286,0.003,-0.003,0.0025,-0.0025,0.00018,-0.00018
15.0,10.0,20.0,-0.000365,0.003941,-0.003941,0.002962,-0.002962,1.4e-05,-1.4e-05
7.5,5.0,10.0,-0.00917,0.0104,-0.0104,0.00195,-0.00195,0.00019,-0.00019
2.5,0.0,5.0,0.002694,0.032023,-0.032023,0.030766,-0.030766,1.6e-05,-1.6e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{112}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0024,0.0105,-0.0105,0.0015,-0.0015,0.0009,-0.0009
65.0,60.0,70.0,0.005,0.0049,-0.0049,0.001,-0.001,0.0014,-0.0014
55.0,50.0,60.0,0.0096,0.0027,-0.0027,0.0024,-0.0024,0.0019,-0.0019
45.0,40.0,50.0,0.0052,0.0019,-0.0019,0.0003,-0.0003,0.0007,-0.0007
