#: table_doi: 10.17182/hepdata.159952.v1/t10
#: name: Figure 6
#: description: Centrality dependence of $\gamma^{112}_{\rm OS}$ (red circles) and $\gamma^{112}_{\rm SS}$ (blue squares) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV.The solid error bars and the shaded boxes represent the statistical and systematic uncertainties, respectively. 
#: data_file: Figure6.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
25.0,20.0,30.0,5.8e-05,6e-06,-6e-06,0,0
15.0,10.0,20.0,2.84e-05,6e-06,-6e-06,6e-07,-6e-07
7.5,5.0,10.0,7e-06,1.3e-05,-1.3e-05,2e-06,-2e-06
2.5,0.0,5.0,-1.5e-05,3.5e-05,-3.5e-05,5e-06,-5e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00073,0.00038,-0.00038,0.00018,-0.00018
65.0,60.0,70.0,-0.00039,0.0001,-0.0001,0.00011,-0.00011
55.0,50.0,60.0,-0.0003,3e-05,-3e-05,5e-05,-5e-05
45.0,40.0,50.0,-0.000231,1.5e-05,-1.5e-05,8e-06,-8e-06
35.0,30.0,40.0,-0.000171,8e-06,-8e-06,4e-06,-4e-06
25.0,20.0,30.0,-0.000123,6e-06,-6e-06,5e-06,-5e-06
15.0,10.0,20.0,-7.2e-05,6e-06,-6e-06,3e-06,-3e-06
7.5,5.0,10.0,-4.9e-05,1.2e-05,-1.2e-05,2e-06,-2e-06
2.5,0.0,5.0,-1.4e-05,3.4e-05,-3.4e-05,4e-06,-4e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0003,0.0004,-0.0004,0.0002,-0.0002
65.0,60.0,70.0,0.0001,0.0001,-0.0001,8e-05,-8e-05
55.0,50.0,60.0,9.7e-05,3.4e-05,-3.4e-05,4e-06,-4e-06
45.0,40.0,50.0,0.000107,1.5e-05,-1.5e-05,1e-05,-1e-05
35.0,30.0,40.0,9.3e-05,8e-06,-8e-06,3e-06,-3e-06
25.0,20.0,30.0,5.26e-05,5.8e-06,-5.8e-06,6e-07,-6e-07
15.0,10.0,20.0,2.2e-05,6e-06,-6e-06,5e-06,-5e-06
7.5,5.0,10.0,-5.6e-06,1.22e-05,-1.22e-05,1e-06,-1e-06
2.5,0.0,5.0,-2.9e-05,3.4e-05,-3.4e-05,3e-06,-3e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00054,0.00051,-0.00051,0.00018,-0.00018
65.0,60.0,70.0,-0.00042,0.00014,-0.00014,0,0
55.0,50.0,60.0,-0.00034,5e-05,-5e-05,3e-05,-3e-05
45.0,40.0,50.0,-0.0002573,2.05e-05,-2.05e-05,1.2e-06,-1.2e-06
35.0,30.0,40.0,-0.000188,1.1e-05,-1.1e-05,5e-06,-5e-06
25.0,20.0,30.0,-0.000121,7e-06,-7e-06,4e-06,-4e-06
15.0,10.0,20.0,-7.87e-05,6.9e-06,-6.9e-06,1.6e-06,-1.6e-06
7.5,5.0,10.0,-2.5e-05,1.5e-05,-1.5e-05,2e-06,-2e-06
2.5,0.0,5.0,-4.2e-05,3.9e-05,-3.9e-05,1e-05,-1e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{112}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0008,0.0005,-0.0005,0.00017,-0.00017
65.0,60.0,70.0,-1e-05,0.00014,-0.00014,7e-05,-7e-05
55.0,50.0,60.0,0.000154,4.7e-05,-4.7e-05,1.5e-05,-1.5e-05
45.0,40.0,50.0,8.6e-05,2e-05,-2e-05,3e-06,-3e-06
