#: table_doi: 10.17182/hepdata.159952.v1/t14
#: name: Figure 10
#: description: Centrality dependence of  $N_{\rm part}\Delta\gamma^{132}$ (red square) and $N_{\rm part}\Delta\gamma^{132}_{\rm ESS}$ (blue circle) in Au+Au collisions at $\sqrt{s_{NN}}$ = 7.7--200 GeV. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. For comparison, $N_{\rm part}\Delta H^{132}(\kappa_{\rm{bg}}=1)$ is also shown with gray band denotes the statistic uncertainties. The horizontal dashed lines denote constant fits to $N_{\rm part}\Delta\gamma^{132}_{\rm ESS}$ over the 20\%--50\% centrality region. 
#: data_file: Figure10.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
25.0,20.0,30.0,-0.000312,0.002782,-0.002782,0.001241,-0.001241,1.9e-05,-1.9e-05
15.0,10.0,20.0,0.00155,0.0036,-0.0036,0.0007,-0.0007,6e-05,-6e-05
7.5,5.0,10.0,-0.00626,0.01031,-0.01031,0.01064,-0.01064,0.00013,-0.00013
2.5,0.0,5.0,0.00418,0.02962,-0.02962,0.01707,-0.01707,2e-05,-2e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,27
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0121,0.0138,-0.0138,0.0012,-0.0012,0.0045,-0.0045
65.0,60.0,70.0,-0.0044,0.0058,-0.0058,0.0046,-0.0046,0.0012,-0.0012
55.0,50.0,60.0,-0.0035,0.003,-0.003,0.0026,-0.0026,0.0007,-0.0007
45.0,40.0,50.0,0.00046,0.00201,-0.00201,0.00184,-0.00184,6e-05,-6e-05
35.0,30.0,40.0,-0.00065,0.00154,-0.00154,0.00142,-0.00142,6e-05,-6e-05
25.0,20.0,30.0,0.000246,0.001489,-0.001489,0.001188,-0.001188,1.5e-05,-1.5e-05
15.0,10.0,20.0,0.00318,0.00193,-0.00193,0.00157,-0.00157,0.00012,-0.00012
7.5,5.0,10.0,-0.0023,0.00553,-0.00553,0.00315,-0.00315,5e-05,-5e-05
2.5,0.0,5.0,-0.000407,0.01675,-0.01675,0.001628,-0.001628,2e-06,-2e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0014,0.003,-0.003,0.0004,-0.0004,0.0005,-0.0005
65.0,60.0,70.0,0.00048,0.00174,-0.00174,0.00053,-0.00053,0.00013,-0.00013
55.0,50.0,60.0,0.00507,0.00123,-0.00123,0.00012,-0.00012,0.00101,-0.00101
45.0,40.0,50.0,0.00725,0.00102,-0.00102,9e-05,-9e-05,0.00099,-0.00099
35.0,30.0,40.0,0.0112,0.001,-0.001,0.0012,-0.0012,0.0011,-0.0011
25.0,20.0,30.0,0.011,0.001,-0.001,0.0008,-0.0008,0.0007,-0.0007
15.0,10.0,20.0,0.0111,0.0015,-0.0015,0.0006,-0.0006,0.0004,-0.0004
7.5,5.0,10.0,0.00346,0.00389,-0.00389,0.00204,-0.00204,7e-05,-7e-05
2.5,0.0,5.0,0.0203,0.00986,-0.00986,0.00146,-0.00146,0.00012,-0.00012

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta\gamma^{132}_{ESS}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,-0.0028,0.0062,-0.0062,0.0029,-0.0029,0.001,-0.001
65.0,60.0,70.0,-0.0031,0.0031,-0.0031,0.0011,-0.0011,0.0008,-0.0008
55.0,50.0,60.0,0.00253,0.00209,-0.00209,0.0002,-0.0002,0.0005,-0.0005
45.0,40.0,50.0,6.5e-05,0.001774,-0.001774,0.000367,-0.000367,9e-06,-9e-06
35.0,30.0,40.0,0.00051,0.00174,-0.00174,0.00165,-0.00165,5e-05,-5e-05
25.0,20.0,30.0,-0.00117,0.00198,-0.00198,0.00043,-0.00043,7e-05,-7e-05
15.0,10.0,20.0,0.00206,0.00277,-0.00277,0.00023,-0.00023,8e-05,-8e-05
7.5,5.0,10.0,0.0015,0.00705,-0.00705,0.00358,-0.00358,3e-05,-3e-05
2.5,0.0,5.0,-0.01115,0.01668,-0.01668,0.0152,-0.0152,7e-05,-7e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,200
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$N_{part}\Delta H^{132}$ [ ],stat +,stat -,sys +,sys -,Npart +,Npart -
75.0,70.0,80.0,0.0005,0.00295,-0.00295,0.0006,-0.0006,0.00019,-0.00019
65.0,60.0,70.0,-0.0024,0.0017,-0.0017,0.0025,-0.0025,0.0006,-0.0006
55.0,50.0,60.0,-0.00034,0.00118,-0.00118,0.00134,-0.00134,7e-05,-7e-05
45.0,40.0,50.0,-0.00021,0.00097,-0.00097,0.0005,-0.0005,3e-05,-3e-05
35.0,30.0,40.0,0.0027,0.0009,-0.0009,0.0013,-0.0013,0.0003,-0.0003
25.0,20.0,30.0,0.00313,0.001,-0.001,0.00126,-0.00126,0.00019,-0.00019
15.0,10.0,20.0,0.00512,0.00141,-0.00141,0.00172,-0.00172,0.00019,-0.00019
7.5,5.0,10.0,-0.000616,0.003797,-0.003797,0.002128,-0.002128,1.3e-05,-1.3e-05
2.5,0.0,5.0,0.01763,0.00971,-0.00971,0.00544,-0.00544,0.0001,-0.0001

