#: table_doi: 10.17182/hepdata.159952.v1/t11
#: name: Figure 7
#: description: Same as Fig.6, but for $\gamma^{132}_{\rm OS}$ and $\gamma^{132}_{\rm SS}$. For comparison, we also add $v_2\delta_{\rm OS}$ and $v_2\delta_{\rm SS}$ (shaded bands). 
#: data_file: Figure7.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,7.7
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
25.0,20.0,30.0,-1.1e-05,6e-06,-6e-06,0,0
15.0,10.0,20.0,-3e-06,6e-06,-6e-06,0,0
7.5,5.0,10.0,-5e-06,1.3e-05,-1.3e-05,3e-06,-3e-06
2.5,0.0,5.0,1.95e-05,3.51e-05,-3.51e-05,1.5e-06,-1.5e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00038,0.00038,-0.00038,3e-05,-3e-05
65.0,60.0,70.0,-0.000121,9.8e-05,-9.8e-05,1.8e-05,-1.8e-05
55.0,50.0,60.0,-6e-05,3e-05,-3e-05,3e-05,-3e-05
45.0,40.0,50.0,-0.000108,1.5e-05,-1.5e-05,8e-06,-8e-06
35.0,30.0,40.0,-9.3e-05,8e-06,-8e-06,3e-06,-3e-06
25.0,20.0,30.0,-7.4e-05,6e-06,-6e-06,1.1e-05,-1.1e-05
15.0,10.0,20.0,-4.7e-05,6e-06,-6e-06,3e-06,-3e-06
7.5,5.0,10.0,-3.2e-05,1.2e-05,-1.2e-05,5e-06,-5e-06
2.5,0.0,5.0,4.8e-05,3.4e-05,-3.4e-05,6e-06,-6e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,14.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00064,0.00037,-0.00037,9e-05,-9e-05
65.0,60.0,70.0,-0.000269,9.7e-05,-9.7e-05,7e-06,-7e-06
55.0,50.0,60.0,-8.5e-05,3.4e-05,-3.4e-05,3e-06,-3e-06
45.0,40.0,50.0,-2.7e-05,1.5e-05,-1.5e-05,1.1e-06,-1.1e-06
35.0,30.0,40.0,-1.5e-05,8e-06,-8e-06,8e-06,-8e-06
25.0,20.0,30.0,-6.6e-06,5.8e-06,-5.8e-06,9e-07,-9e-07
15.0,10.0,20.0,1.3e-06,5.6e-06,-5.6e-06,1.3e-06,-1.3e-06
7.5,5.0,10.0,1e-05,1.2e-05,-1.2e-05,1.3e-05,-1.3e-05
2.5,0.0,5.0,-1.4e-05,3.4e-05,-3.4e-05,4e-06,-4e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.00023,0.00051,-0.00051,4e-05,-4e-05
65.0,60.0,70.0,-0.000344,0.000139,-0.000139,1.3e-05,-1.3e-05
55.0,50.0,60.0,-0.000103,4.7e-05,-4.7e-05,5e-06,-5e-06
45.0,40.0,50.0,-8.7e-05,2.1e-05,-2.1e-05,5e-06,-5e-06
35.0,30.0,40.0,-8.4e-05,1.1e-05,-1.1e-05,8e-06,-8e-06
25.0,20.0,30.0,-6.1e-05,7e-06,-7e-06,3e-06,-3e-06
15.0,10.0,20.0,-2.51e-05,6.9e-06,-6.9e-06,1.8e-06,-1.8e-06
7.5,5.0,10.0,-4.3e-05,1.5e-05,-1.5e-05,1e-05,-1e-05
2.5,0.0,5.0,-4.8e-05,3.9e-05,-3.9e-05,1.8e-05,-1.8e-05

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,17.3
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-9.8e-05,0.000495,-0.000495,7e-06,-7e-06
65.0,60.0,70.0,-4e-05,0.00014,-0.00014,2e-05,-2e-05
55.0,50.0,60.0,-3.1e-05,4.7e-05,-4.7e-05,3e-06,-3e-06
45.0,40.0,50.0,2.1e-05,2e-05,-2e-05,4e-06,-4e-06
35.0,30.0,40.0,3.1e-06,1.11e-05,-1.11e-05,5e-07,-5e-07
25.0,20.0,30.0,1.2e-05,7.5e-06,-7.5e-06,1.9e-06,-1.9e-06
15.0,10.0,20.0,1.8e-05,7e-06,-7e-06,3e-06,-3e-06
7.5,5.0,10.0,9.2e-06,1.45e-05,-1.45e-05,1.5e-06,-1.5e-06
2.5,0.0,5.0,-3.57e-05,3.91e-05,-3.91e-05,1.6e-06,-1.6e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{SS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,-0.0001,0.0004,-0.0004,0.0004,-0.0004
65.0,60.0,70.0,-0.000196,0.000102,-0.000102,1.4e-05,-1.4e-05
55.0,50.0,60.0,-0.000116,3.2e-05,-3.2e-05,9e-06,-9e-06
45.0,40.0,50.0,-9.4e-05,1.4e-05,-1.4e-05,8e-06,-8e-06
35.0,30.0,40.0,-7.9e-05,7e-06,-7e-06,5e-06,-5e-06
25.0,20.0,30.0,-4.9e-05,5e-06,-5e-06,4e-06,-4e-06
15.0,10.0,20.0,-3.6e-05,4e-06,-4e-06,3e-06,-3e-06
7.5,5.0,10.0,-1.7e-05,1e-05,-1e-05,6e-06,-6e-06
2.5,0.0,5.0,8.3e-06,2.7e-05,-2.7e-05,1e-06,-1e-06

#: Detector,,,STAR
#: Collision species,,,Au+Au
#: $\sqrt{s_{\rm NN}}$,,,19.6
$\rm Centrality$ [$\%$],$\rm Centrality$ [$\%$] LOW,$\rm Centrality$ [$\%$] HIGH,$\gamma^{132}_{OS}$ [ ],stat +,stat -,sys +,sys -
75.0,70.0,80.0,0,0.0004,-0.0004,0.0002,-0.0002
65.0,60.0,70.0,-3.7e-05,0.000101,-0.000101,1.5e-05,-1.5e-05
55.0,50.0,60.0,-9e-05,3e-05,-3e-05,2e-05,-2e-05
45.0,40.0,50.0,-2.5e-05,1.4e-05,-1.4e-05,4e-06,-4e-06
35.0,30.0,40.0,5e-06,7.2e-06,-7.2e-06,1.9e-06,-1.9e-06
