#: table_doi: 10.17182/hepdata.159952.v1/t16
#: name: Figure 12
#: description: Beam energy dependence of $N_{\rm part}\langle\Delta\gamma^{112}\rangle$ (a) and $N_{\rm part}\langle\Delta\gamma^{132}\rangle$ (b), together with ESS results obtained using four recipes, in 20--50\% Au+Au collisions. The error bars, shaded boxes, and brackets represent statistical uncertainties, measurement systematics, and uncertainties associated with $N_{\rm part}$, respectively. 
#: data_file: Figure12.yaml
#: keyword reactions: Au+Au
#: keyword cmenergies: 7.7-200
#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{112}$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
27.0,0.0093,0.001,-0.001,0.0005,-0.0005,0.0005,-0.0005
200.0,0.00985,0.00058,-0.00058,7e-05,-7e-05,0.00053,-0.00053

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{132}_{ESS}(a)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,0.00097,0.00213,-0.00213,0.00152,-0.00152,5e-05,-5e-05
9.2,0.0013,0.00164,-0.00164,0.0001,-0.0001,9e-05,-9e-05
11.5,0.00206,0.00129,-0.00129,0.00058,-0.00058,0.00012,-0.00012
14.6,0.0017,0.0012,-0.0012,0.0003,-0.0003,0.0002,-0.0002
17.3,0.00051,0.00161,-0.00161,0.00052,-0.00052,4e-05,-4e-05
19.6,0.00167,0.00105,-0.00105,0.00023,-0.00023,0.00012,-0.00012
27.0,0.00143,0.00152,-0.00152,0.0001,-0.0001,8e-05,-8e-05
200.0,0.00163,0.0009,-0.0009,0.00076,-0.00076,0.00012,-0.00012

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{132}_{ESS}(b)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,-0.00023,0.00213,-0.00213,0.00036,-0.00036,0.00018,-0.00018
9.2,-0.00114,0.00165,-0.00165,0.00079,-0.00079,5e-05,-5e-05
11.5,0.00105,0.0013,-0.0013,0.00035,-0.00035,0.00011,-0.00011
14.6,0.00103,0.00121,-0.00121,0.00033,-0.00033,0.00011,-0.00011
17.3,0.00079,0.00161,-0.00161,0.00043,-0.00043,0.00015,-0.00015
19.6,0.00096,0.00107,-0.00107,5e-05,-5e-05,0.0001,-0.0001
27.0,0.00162,0.00154,-0.00154,0.00016,-0.00016,9e-05,-9e-05
200.0,0.00105,0.00095,-0.00095,0.00015,-0.00015,7e-05,-7e-05

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{132}_{ESS}(d)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,-0.00271,0.00274,-0.00274,0.00204,-0.00204,0.00017,-0.00017
9.2,-0.00142,0.00212,-0.00212,0.00022,-0.00022,9e-05,-9e-05
11.5,-0.00064,0.00166,-0.00166,0.001,-0.001,6e-05,-6e-05
14.6,-0.0007,0.0015,-0.0015,0.0005,-0.0005,0.0003,-0.0003
17.3,-0.00279,0.00207,-0.00207,0.00079,-0.00079,0.00015,-0.00015
19.6,-0.0006,0.00135,-0.00135,0.00045,-0.00045,8e-05,-8e-05
27.0,-0.00129,0.00195,-0.00195,0,0,8e-05,-8e-05
200.0,-0.00108,0.00115,-0.00115,0.00113,-0.00113,7e-05,-7e-05

#: Detector,STAR
#: Collision species,Au+Au
$\Delta\gamma^{112(132)}$ [ ],$\Delta\gamma^{132}_{ESS}(c optimal)$ [ ],stat +,stat -,sys +,sys -,theory Npart +,theory Npart -
7.7,-0.003,0.0025,-0.0025,0.0005,-0.0005,0.0003,-0.0003
9.2,-0.00328,0.00191,-0.00191,0.00104,-0.00104,0.00015,-0.00015
11.5,-0.0005,0.00149,-0.00149,0.00046,-0.00046,0.00012,-0.00012
14.6,-0.00027,0.00138,-0.00138,0.00037,-0.00037,0.00013,-0.00013
17.3,-0.00067,0.00183,-0.00183,0.00046,-0.00046,0.00018,-0.00018
19.6,-0.00027,0.00121,-0.00121,4e-05,-4e-05,8e-05,-8e-05
27.0,0.00037,0.00173,-0.00173,0.00017,-0.00017,2e-05,-2e-05
200.0,-0.00012,0.00105,-0.00105,0.00023,-0.00023,2e-05,-2e-05

